EMP_NAME,EMP_AGE,MARITAL STATUS,EMP ID,COMPANY,COMPANY LOCATION,SPECIALIZATION,DESIGNATION_ID,PHONE NO,BANK BRANCH,EXPERIENCE,EDUCATION,VOTER_ID,PAN CARD,HOUSING,Loan,LOAN TYPE_ID,REWARD POINTS ,SAVINGS ACCOUNT NO.,CD ACC NO,FD ACC NO,OD ACC NO,CURRENT ACC NO,BALANCE,CREDIT CARD NO,DEBIT CARD NO,INTERNET BANKING,AVG BALANCE YEAR1,AVG BALANCE YEAR 2,AVG BALANCE YEAR 3,ADDRESS OF EMPLOYEES,ACCOUNT OPENING DATE,,
Hussain,24,married,10031,IBM,Bangalore,Business Intelligence,1008,9583767895,Bangalore,2,BE/BTech,ALM963256,BJNPA6577N,yes,no,208,85,10025000000001,NULL,NULL,NULL,NULL,21430,4386 2385 1258 1223,1234 9438 8752 1005,yes,12259,23240,485793,"Shinde wadi,Dadar(E)",24-01-2010,,
Nagesh,26,single,10032,IBM,Bangalore,J2EE,1008,9546276543,Bangalore,3.5,BE/BTech,ALM963257,BJNPA6475K,yes,no,208,45,10025000000002,1112510000249,NULL,1111250000025,NULL,2900,4386 2395 1258 1322,1235 9438 8752 1005,yes,76382,354993,170224,"H.No:1/A,Tata Hospital Road,Parel(E)",26-02-2009,,
Preetham,27,married,10033,IBM,Bangalore,ABAP,1008,9876534563,Bangalore,4.5,BE/BTech,ALM963258,BJNPA7541L,yes,yes,205,635,10025000000003,1112510000250,NULL,NULL,NULL,2222,4387 2385 1258 1223,1236 9438 8752 1005,yes,103845,275314,587337,"H.No:1/A,Caters Road,Prabhadevi",27-02-2009,,
Rajashekarappa,28,married,10034,IBM,Bangalore,V&V,1008,9875674535,Bangalore,6.5,BE/BTech,ALM963259,BJNPA8658H,yes,no,208,1235,10025000000004,1112510000251,NULL,NULL,NULL,150681,4388 2385 1258 1223,1237 9438 8752 1005,yes,106603,313436,448034,"H.No:2/D,Dharavi road,Sion(W)",28-02-2009,,
Monappa,30,single,10035,IBM,Bangalore,DotNet,1008,9845635674,Bangalore,7.5,BE/BTech,ZAG614233,BJNPA6875G,no,no,208,5214,10025000000005,1112510000252,NULL,NULL,NULL,1878787,4389 2385 1258 1223,1238 9438 8752 1005,yes,109832,141143,18386,"H.No:2/T,Chandvarkar road,Matunga(W)",01-03-2009,,
Uthra,31,married,10036,IBM,Bangalore,J2EE,1008,8765845638,Bangalore,8,BE/BTech,ZAG614234,BJNPA5476N,yes,no,208,6357,10025000000006,1112510000253,NULL,NULL,NULL,231886,4390 2385 1258 1223,1239 9438 8752 1005,yes,58556,330158,230416,"H.No:1/G,Napoo Road,Lalbaug",02-03-2009,,
Narasimhamurthy,27,single,10037,IBM,Bangalore,ABAP,1008,7895436370,Bangalore,4.5,BE/BTech,ZAG614235,BJNPA1234K,yes,yes,211,8564,10025000000007,1112510000254,NULL,NULL,NULL,447787,4387 2395 1258 1322,1240 9438 8752 1005,yes,125325,292568,79537,"H.No:4/S,Bhulabhai desai road,wadala(E)",03-03-2009,,
Thorat,24,divorced,10038,IBM,Bangalore,V&V,1008,9845352311,Bangalore,3.5,BE/BTech,ZAG614236,BJNPA4126J,yes,no,208,123,10025000000008,1112510000255,NULL,NULL,1111010000752,220202,4391 2385 1258 1223,1241 9438 8752 1005,yes,185702,262717,408536,"H.No:3/L,dargah road,mahalakshmi",24-01-2010,,
Puvvadi,25,married,10039,IBM,Bangalore,DotNet,1008,9873452475,Bangalore,3,BE/BTech,ZAG614237,BJNPA3254B,yes,no,208,5,10025000000009,1112510000256,NULL,NULL,NULL,12180,4392 2385 1258 1223,1242 9438 8752 1005,yes,92631,88007,474449,"H.No:5/S,Moti shah lane,Dadar(W)i",25-06-2012,,
Gawand,23,single,10040,IBM,Bangalore,DotNet,1008,8765341234,Bangalore,2,BE/BTech,ZAG614238,BJNPA4568V,yes,no,208,4562,10025000000010,1112510000257,NULL,NULL,NULL,59300,4393 2385 1258 1223,1243 9438 8752 1005,yes,141313,93589,578713,"H.No:1/M,jame jamshed road,dadar(E)",02-07-2008,,
Pulathota,28,divorced,10041,IBM,Bangalore,Business Intelligence,1008,9645341234,Bangalore,6,BE/BTech,ZAG614239,BJNPA7412K,yes,no,208,2598,10025000000011,1112510000258,NULL,NULL,NULL,27000,4394 2385 1258 1223,1244 9438 8752 1005,yes,169365,61047,348628,"H.No:11/H,Worlikar marg,Worli",25-06-2012,,
Manjunath,29,single,10042,IBM,Bangalore,J2EE,1008,9764531237,Bangalore,5.5,BE/BTech,ZAG614240,BJNPA1254H,yes,no,208,4512,10025000000012,1112510000259,NULL,NULL,NULL,39052,4388 2395 1258 1322,1245 9438 8752 1005,yes,31883,149775,361153,"H.No:3/Z,Amarsons garden,Prabhadevi",25-06-2012,,
Kandpal,30,married,10043,IBM,Bangalore,ABAP,1008,9538675235,Bangalore,8,BE/BTech,ZAG614241,BJNPA7412M,yes,no,208,754,10025000000013,1112510000260,NULL,NULL,NULL,60000,4395 2385 1258 1223,1246 9438 8752 1005,yes,89986,35919,5675,"H.No:7/T,shivari road,Parel(E)",25-06-2012,,
Pazhanivel,28,married,10044,IBM,Bangalore,V&V,1008,9632587414,Bangalore,4.5,BE/BTech,ZAG614242,BJNPA2536C,yes,no,208,12564,10025000000014,1112510000261,NULL,NULL,NULL,5000,4396 2385 1258 1223,1247 9438 8752 1005,yes,190991,375462,401567,"H.No:2/S,cloves lane,masjid bunder(W)",25-06-2012,,
Chappidi,27,married,10045,IBM,Bangalore,DotNet,1008,9685324585,Bangalore,3.5,BE/BTech,ZAG614243,BJNPA5624K,yes,no,208,78546,10025000000015,1112510000262,NULL,NULL,NULL,1620,4397 2385 1258 1223,1248 9438 8752 1005,yes,69000,76877,530014,"H.No:1/A,Lifestyle Road,Parel(W)",25-06-2012,,
Jose,29,married,10046,IBM,Bangalore,ABAP,1008,9632587412,Bangalore,6.5,BE/BTech,ZAG614244,BJNPA6548I,yes,no,208,235,10025000000016,1112510000263,NULL,NULL,NULL,22900,4398 2385 1258 1223,1249 9438 8752 1005,no,156310,216081,444373,"H.No:13/R,Queens road,Chinchpokli",25-06-2007,,
Dsouza,35,single,10047,IBM,Bangalore,V&V,1008,9865321472,Bangalore,7.5,BE/BTech,ZAG614245,BJNPA4758O,yes,no,208,1246,10025000000017,1112510000264,NULL,NULL,NULL,1300,4389 2395 1258 1322,1250 9438 8752 1005,no,60254,104765,6613,"H.No:3/A,M G road,Byculla(W)",25-06-2007,,
Gangasani,36,married,10048,IBM,Bangalore,Business Intelligence,1008,9874563214,Bangalore,7.5,BE/BTech,ZAG614246,BJNPA1597L,yes,no,208,5236,10025000000018,1112510000265,NULL,NULL,NULL,5002,4399 2385 1258 1223,1251 9438 8752 1005,no,152654,36260,520146,"H.No:4/G,sion hospital lane,sion(E)",25-06-2007,,
Ghattamaneni,35,married,10049,IBM,Bangalore,J2EE,1008,9632587415,Bangalore,6.5,BE/BTech,ALM963256,BJNPA3574M,yes,no,208,5632,10025000000019,1112510000266,NULL,NULL,NULL,0,4400 2385 1258 1223,1252 9438 8752 1005,no,60596,203807,47661,"H.No:5/A,Dumping Road,worli",25-06-2007,,
Ghadge,27,married,10050,IBM,Bangalore,ABAP,1008,9874563218,Bangalore,5.5,BE/BTech,BPL6598412,BJNPA6456Q,yes,no,208,41235,10025000000020,1112510000267,NULL,NULL,NULL,40000,4401 2385 1258 1223,1253 9438 8752 1005,yes,78486,285216,559623,"H.No:1/E,Mill raod,kurla(E)",25-06-2007,,
Muvvala,28,married,10051,IBM,Bangalore,V&V,1008,9634568521,Bangalore,4.5,BE/BTech,ALM963257,BJNPA2589U,yes,yes,203,6325,10025000000021,1112510000268,NULL,NULL,NULL,72300,4402 2385 1258 1223,1254 9438 8752 1005,yes,182044,32725,430305,"H.No:1/D,chunabhati road,Kurla(W)",28-08-2008,,
Nagarajappa,29,married,10052,IBM,Bangalore,DotNet,1008,8526931475,Bangalore,6.5,BE/BTech,BPL6598413,BJNPA4532D,yes,no,208,6325,10025000000022,1112510000269,NULL,1111250000044,NULL,77789,4390 2395 1258 1322,1255 9438 8752 1005,no,144776,256928,354061,"H.No:1/H,Classic road,Mazgaon",28-08-2008,,
Nagireddy,26,single,10053,IBM,Chennai,DotNet,1008,8496571237,Bangalore,4.5,BE/BTech,ALM963258,CSKMN2000Z,yes,yes,204,36,10025000000023,1112510000270,1114020000147,NULL,NULL,2378,4403 2385 1258 1223,1256 9438 8752 1005,yes,140223,276706,349263,"H.No:1/L,Jain society,Sion(E)",28-08-2008,,
Adivishnu,25,married,10054,IBM,Chennai,Business Intelligence,1008,9517894320,Bangalore,3.5,BE/BTech,BPL6598419,CSKMN2001Y,yes,no,208,78,10025000000024,1112510000271,1114020000148,NULL,NULL,5045,4404 2385 1258 1223,1257 9438 8752 1005,no,55647,222190,431591,"H.No:1/D,catering college lane,Sandhurst road(E)",28-08-2008,,
Rokade,27,married,10055,IBM,Chennai,J2EE,1008,9517538521,Bangalore,4.5,BE/BTech,ALM963259,CSKMN2002X,yes,yes,210,9865,10025000000025,1112510000272,1114020000149,NULL,NULL,55555,4405 2385 1258 1223,1258 9438 8752 1005,no,44263,69435,95510,"H.No:1/I,gymkhana marg,Currey road",28-08-2008,,
Parmar,29,married,10056,IBM,Chennai,ABAP,1008,8521479631,Bangalore,7.5,BE/BTech,BPL6598415,CSKMN2003V,yes,no,208,6324,10025000000026,NULL,1114020000150,NULL,NULL,4554,4406 2385 1258 1223,1259 9438 8752 1005,yes,196142,63430,173582,"H.No:21/X,ganseh lane,lalbaug",29-05-2010,,
Sharma,27,single,10057,IBM,Chennai,V&V,1008,9874563218,Bangalore,4.5,BE/BTech,ALM963260,CSKMN2004U,yes,no,208,5263,10025000000027,NULL,1114020000151,NULL,NULL,454527,4391 2395 1258 1322,1260 9438 8752 1005,yes,133457,258945,235593,"H.No:7/K,furniture wala road,Worli",30-05-2010,,
Shetty,29,married,10058,IBM,Chennai,DotNet,1008,9632581593,Bangalore,3.5,BE/BTech,BPL6598416,CSKMN2005T,yes,yes,203,754,10025000000028,NULL,1114020000152,NULL,NULL,50000,4407 2385 1258 1223,1261 9438 8752 1005,yes,43144,29507,280271,"H.No:2/A,savla street,matunga(W)",31-05-2010,,
Ambhore,26,single,10059,IBM,Chennai,Business Intelligence,1008,9852367413,Bangalore,4.5,BE/BTech,ALM963261,CSKMN2006S,yes,no,208,4568,10025000000029,NULL,1114020000153,NULL,NULL,60000,4408 2385 1258 1223,1262 9438 8752 1005,yes,131125,6083,408584,"H.No:5/K,savla street,matunga(W)",01-06-2010,,
Madhusudhan,25,single,10060,IBM,Chennai,J2EE,1008,9147852364,Bangalore,3.5,BE/BTech,BPL6598417,CSKMN2007R,yes,yes,209,635,10025000000030,NULL,1114020000154,NULL,NULL,789654,4409 2385 1258 1223,1263 9438 8752 1005,yes,136726,208896,117164,"H.No:5/Q,Mall road,vidya vihar(E)",02-06-2010,,
Kanmani,26,married,10061,IBM,Chennai,DotNet,1008,9874563215,Bangalore,3,BE/BTech,APL784512,CSKMN2008Q,no,yes,210,235,10025000000031,NULL,1114020000155,NULL,NULL,41524,4410 2385 1258 1223,1264 9438 8752 1005,yes,44643,168464,162867,"H.No:1/H,nakshatra road,Dadar(E)",03-06-2010,,
Gadam,25,married,10062,IBM,Chennai,ABAP,1008,9856231475,Bangalore,2,BE/BTech,PLI9632585,CSKMN2009P,yes,no,208,6354,10025000000032,NULL,1114020000156,NULL,NULL,52842,4392 2395 1258 1322,1265 9438 8752 1005,yes,88206,147818,242002,"H.No:2/A,Rani baug,Byculla(E)",04-06-2010,,
Patil,28,married,10063,IBM,Chennai,V&V,1008,9518742635,Bangalore,6,BE/BTech,EFU589631,CSKMN2010O,yes,yes,203,125,10025000000033,NULL,1114020000157,NULL,NULL,45600,4411 2385 1258 1223,1266 9438 8752 1005,yes,111014,25059,435167,"H.No:2/N,ferry wharf,mazgaon",05-06-2010,,
Kamat,28,married,10064,IBM,Chennai,DotNet,1008,9652387415,Bangalore,5.5,BE/BTech,IJP8252369,CSKMN2011N,yes,no,208,6338,10025000000034,NULL,1114020000158,NULL,NULL,5000,4412 2385 1258 1223,1267 9438 8752 1005,no,139880,145973,551395,"H.No:1/F,Porteguse church,Dadar(W)",06-06-2010,,
